dept,Year,AIadj,SYSadj,Theoadj,IAadj
Yale University,2000,1.37 ,1.30 ,1.58 ,1.25 
Yale University,2001,2.13 ,1.41 ,2.40 ,1.75 
Yale University,2002,1.88 ,1.25 ,1.26 ,2.40 
Yale University,2003,1.31 ,1.37 ,2.17 ,1.58 
Yale University,2004,1.92 ,1.34 ,1.50 ,1.75 
Yale University,2005,1.82 ,1.37 ,2.28 ,1.53 
Yale University,2006,1.86 ,1.37 ,2.00 ,2.00 
Yale University,2007,1.71 ,1.41 ,2.67 ,1.33 
Yale University,2008,1.43 ,1.40 ,1.87 ,1.25 
Yale University,2009,1.55 ,1.36 ,1.83 ,1.00 
Yale University,2010,2.37 ,1.45 ,1.00 ,2.00 
Yale University,2011,1.57 ,1.29 ,1.39 ,2.00 
Yale University,2012,2.34 ,1.45 ,1.00 ,1.56 
Yale University,2013,2.58 ,1.35 ,1.60 ,1.67 
Yale University,2014,2.95 ,1.22 ,1.68 ,1.50 
Yale University,2015,1.71 ,1.42 ,1.41 ,1.37 
Yale University,2016,1.92 ,1.46 ,1.26 ,1.78 
Yale University,2017,2.14 ,1.25 ,1.22 ,1.33 
