dept,conf,count,year
Arizona State University,AAAI,2,2000
Arizona State University,AAAI,1,2002
Arizona State University,AAAI,3,2004
Arizona State University,AAAI,1,2005
Arizona State University,AAAI,2,2006
Arizona State University,AAAI,4,2008
Arizona State University,AAAI,3,2010
Arizona State University,AAAI,2,2011
Arizona State University,AAAI,3,2012
Arizona State University,AAAI,1,2013
Arizona State University,AAAI,3,2014
Arizona State University,AAAI,4,2015
Arizona State University,AAAI,4,2016
Arizona State University,AAAI,5,2017
Arizona State University,ACL,2,2015
Arizona State University,ACL,2,2016
Arizona State University,CCS,1,2011
Arizona State University,CCS,1,2012
Arizona State University,CCS,1,2013
Arizona State University,CCS,1,2017
Arizona State University,CHI,1,2012
Arizona State University,CHI,1,2015
Arizona State University,CHI,1,2016
Arizona State University,CHI,2,2017
Arizona State University,CVPR,1,2000
Arizona State University,CVPR,2,2005
Arizona State University,CVPR,1,2006
Arizona State University,CVPR,1,2007
Arizona State University,CVPR,1,2008
Arizona State University,CVPR,2,2009
Arizona State University,CVPR,1,2010
Arizona State University,CVPR,1,2011
Arizona State University,CVPR,3,2013
Arizona State University,CVPR,1,2014
Arizona State University,CVPR,1,2015
Arizona State University,CVPR,3,2016
Arizona State University,DAC,1,2011
Arizona State University,DAC,1,2012
Arizona State University,DAC,1,2013
Arizona State University,DAC,2,2014
Arizona State University,DAC,1,2015
Arizona State University,DAC,1,2016
Arizona State University,DAC,1,2017
Arizona State University,ECCV,1,2008
Arizona State University,ECCV,1,2010
Arizona State University,ECCV,1,2016
Arizona State University,EMNLP,1,2011
Arizona State University,EMNLP,1,2015
Arizona State University,EMSOFT,1,2015
Arizona State University,FAST,1,2015
Arizona State University,HPCA,1,2016
Arizona State University,HPDC,1,2010
Arizona State University,ICCAD,1,2006
Arizona State University,ICCV,1,2005
Arizona State University,ICCV,1,2007
Arizona State University,ICCV,1,2009
Arizona State University,ICCV,1,2011
Arizona State University,ICCV,1,2015
Arizona State University,ICML,1,2002
Arizona State University,ICML,1,2003
Arizona State University,ICML,1,2004
Arizona State University,ICML,1,2006
Arizona State University,ICML,1,2007
Arizona State University,ICML,1,2011
Arizona State University,ICML,1,2013
Arizona State University,ICML,1,2014
Arizona State University,ICRA,1,2005
Arizona State University,ICRA,1,2006
Arizona State University,ICRA,1,2007
Arizona State University,ICRA,1,2009
Arizona State University,ICRA,1,2011
Arizona State University,ICRA,2,2012
Arizona State University,ICRA,2,2013
Arizona State University,ICRA,4,2014
Arizona State University,ICRA,3,2015
Arizona State University,ICRA,1,2016
Arizona State University,ICRA,3,2017
Arizona State University,ICSE,1,2003
Arizona State University,ICSE,1,2005
Arizona State University,IEEE-S&P,3,2016
Arizona State University,IEEE-S&P,1,2017
Arizona State University,IJCAI,2,2001
Arizona State University,IJCAI,1,2003
Arizona State University,IJCAI,3,2005
Arizona State University,IJCAI,5,2007
Arizona State University,IJCAI,4,2009
Arizona State University,IJCAI,1,2011
Arizona State University,IJCAI,4,2013
Arizona State University,IJCAI,6,2015
Arizona State University,IJCAI,3,2016
Arizona State University,IJCAI,2,2017
Arizona State University,IROS,1,2007
Arizona State University,IROS,2,2009
Arizona State University,IROS,1,2010
Arizona State University,IROS,3,2012
Arizona State University,IROS,2,2013
Arizona State University,IROS,2,2014
Arizona State University,IROS,2,2015
Arizona State University,IROS,1,2016
Arizona State University,ISCA,1,2015
Arizona State University,ISCA,1,2017
Arizona State University,ISMB,1,2004
Arizona State University,KDD,1,2003
Arizona State University,KDD,1,2004
Arizona State University,KDD,2,2006
Arizona State University,KDD,2,2007
Arizona State University,KDD,2,2008
Arizona State University,KDD,2,2009
Arizona State University,KDD,1,2010
Arizona State University,KDD,3,2011
Arizona State University,KDD,4,2012
Arizona State University,KDD,3,2013
Arizona State University,KDD,3,2014
Arizona State University,KDD,2,2015
Arizona State University,KDD,1,2016
Arizona State University,KDD,4,2017
Arizona State University,MICRO,1,2011
Arizona State University,MobiCom,2,2001
Arizona State University,MobiCom,1,2012
Arizona State University,NAACL,1,2003
Arizona State University,NAACL,2,2015
Arizona State University,NDSS,1,2013
Arizona State University,NDSS,1,2015
Arizona State University,NDSS,2,2016
Arizona State University,NIPS,1,2007
Arizona State University,NIPS,3,2012
Arizona State University,NIPS,1,2013
Arizona State University,pods,1,2000
Arizona State University,RSS,1,2012
Arizona State University,RTAS,1,2014
Arizona State University,RTAS,1,2015
Arizona State University,RTSS,1,2009
Arizona State University,SC,1,2010
Arizona State University,SIGIR,1,2014
Arizona State University,SIGIR,1,2017
Arizona State University,SIGMOD,1,2005
Arizona State University,SIGMOD,1,2007
Arizona State University,SIGMOD,1,2008
Arizona State University,SIGMOD,1,2009
Arizona State University,SODA,1,2007
Arizona State University,UbiComp,1,2013
Arizona State University,USENIX-ATC,1,2009
Arizona State University,USENIX-Sec,1,2012
Arizona State University,USENIX-Sec,2,2013
Arizona State University,USENIX-Sec,1,2015
Arizona State University,USENIX-Sec,1,2017
Arizona State University,VIS,1,2004
Arizona State University,VIS,1,2016
Arizona State University,VIS,1,2017
Arizona State University,VLDB,1,2002
Arizona State University,VLDB,1,2006
Arizona State University,VLDB,2,2007
Arizona State University,VLDB,1,2012
Arizona State University,VLDB,1,2013
Arizona State University,VLDB,1,2015
Arizona State University,VLDB,1,2016
Arizona State University,VR,1,2007
Arizona State University,WWW,1,2001
Arizona State University,WWW,1,2003
Arizona State University,WWW,1,2004
Arizona State University,WWW,2,2005
Arizona State University,WWW,1,2009
Arizona State University,WWW,2,2011
Arizona State University,WWW,2,2013
Arizona State University,WWW,1,2015
Arizona State University,WWW,1,2016
Arizona State University,WWW,3,2017
Auburn University,ASE,1,2009
Auburn University,ASE,1,2011
Auburn University,CHI,1,2001
Auburn University,FSE,1,2014
Auburn University,ICSE,1,2016
Auburn University,IMC,1,2003
Auburn University,MobiSys,1,2006
Auburn University,OOPSLA,2,2009
Auburn University,SIGMOD,1,2010
Auburn University,SIGMOD,1,2011
Auburn University,SIGMOD,1,2016
Binghamton University,AAAI,1,2006
Binghamton University,AAAI,1,2007
Binghamton University,AAAI,1,2008
Binghamton University,AAAI,1,2010
Binghamton University,AAAI,1,2014
Binghamton University,AAAI,2,2015
Binghamton University,AAAI,1,2016
Binghamton University,AAAI,2,2017
Binghamton University,ACL,1,2012
Binghamton University,ACL,1,2015
Binghamton University,ASE,1,2017
Binghamton University,ASPLOS,1,2014
Binghamton University,CCS,1,2007
Binghamton University,CCS,1,2012
Binghamton University,CCS,1,2016
Binghamton University,CVPR,1,2004
Binghamton University,CVPR,1,2005
Binghamton University,CVPR,1,2006
Binghamton University,CVPR,1,2007
Binghamton University,CVPR,1,2008
Binghamton University,CVPR,1,2016
Binghamton University,CVPR,1,2017
Binghamton University,DAC,2,2009
Binghamton University,DAC,2,2011
Binghamton University,DAC,1,2016
Binghamton University,DAC,1,2017
Binghamton University,ECCV,1,2004
Binghamton University,ECCV,2,2008
Binghamton University,EuroSys,1,2007
Binghamton University,FAST,1,2003
Binghamton University,HPCA,1,2006
Binghamton University,HPCA,1,2012
Binghamton University,HPCA,2,2013
Binghamton University,HPCA,1,2014
Binghamton University,HPCA,1,2015
Binghamton University,HPDC,2,2000
Binghamton University,HPDC,2,2002
