Year,State,conf,count
2000,New Mexico,ECCV,1
2000,New Mexico,SIGGRAPH,1
2000,New Mexico,USENIX-Sec,1
2000,Texas,AAAI,3
2000,Texas,ACL,2
2000,Texas,CCS,1
2000,Texas,CVPR,2
2000,Texas,EuroCrypt,1
2000,Texas,FOCS,1
2000,Texas,ICML,1
2000,Texas,ICRA,1
2000,Texas,ICS,2
2000,Texas,LICS,1
2000,Texas,MICRO,1
2000,Texas,RTSS,1
2000,Texas,SC,1
2000,Texas,SIGCOMM,1
2000,Texas,SIGMETRICS,1
2000,Texas,SODA,1
2000,Texas,USENIX-Sec,1
2000,Texas,VIS,1
2000,Arizona,AAAI,2
2000,Arizona,CVPR,1
2000,Arizona,ECCV,1
2000,Arizona,POPL,1
2000,Arizona,RECOMB,1
2000,Arizona,SODA,1
2000,California,AAAI,9
2000,California,ACL,2
2000,California,ASPLOS,10
2000,California,CAV,4
2000,California,CCS,2
2000,California,CHI,3
2000,California,CRYPTO,3
2000,California,CVPR,11
2000,California,DAC,10
2000,California,EC,1
2000,California,ECCV,4
2000,California,EuroCrypt,6
2000,California,FOCS,11
2000,California,HPCA,4
2000,California,HPDC,2
2000,California,ICCAD,13
2000,California,ICML,9
2000,California,ICRA,13
2000,California,ICS,2
2000,California,ICSE,6
2000,California,IEEE-S&P,4
2000,California,IROS,5
2000,California,ISCA,3
2000,California,ISMB,5
2000,California,ISSTA,1
2000,California,KDD,1
2000,California,LICS,3
2000,California,MICRO,6
2000,California,MobiCom,4
2000,California,NDSS,5
2000,California,NIPS,13
2000,California,OOPSLA,3
2000,California,OSDI,6
2000,California,PLDI,3
2000,California,POPL,3
2000,California,RECOMB,5
2000,California,SC,3
2000,California,SIGCOMM,7
2000,California,SIGGRAPH,7
2000,California,SIGIR,1
2000,California,SIGMETRICS,3
2000,California,SIGMOD,6
2000,California,SODA,8
2000,California,STOC,16
2000,California,UIST,3
2000,California,USENIX-Sec,2
2000,California,VIS,7
2000,California,VLDB,7
2000,California,VR,2
2000,Colorado,AAAI,2
2000,Colorado,CRYPTO,1
2000,Colorado,CVPR,2
2000,Colorado,ICML,2
2000,Colorado,ICRA,1
2000,Colorado,MobiCom,1
2000,Colorado,NIPS,2
2000,Colorado,OSDI,1
2000,Colorado,PLDI,1
2000,Colorado,SC,1
2000,Colorado,SIGMETRICS,1
2000,Connecticut,ECCV,1
2000,Connecticut,ICFP,1
2000,Connecticut,IEEE-S&P,1
2000,Connecticut,SIGGRAPH,1
2000,Connecticut,SIGIR,1
2000,Connecticut,SODA,1
2000,Connecticut,STOC,2
2000,Connecticut,USENIX-ATC,1
2000,Delaware,CVPR,1
2000,Delaware,ICS,1
2000,Delaware,ISMB,1
2000,Delaware,ISSTA,2
2000,District of Columbia,CCS,1
2000,District of Columbia,ICML,1
2000,District of Columbia,SODA,1
2000,District of Columbia,STOC,1
2000,Florida,ASPLOS,1
2000,Florida,CVPR,2
2000,Florida,DAC,1
2000,Florida,HPCA,1
2000,Florida,NIPS,1
2000,Florida,OOPSLA,1
2000,Florida,SC,1
2000,Florida,SIGGRAPH,1
2000,Florida,SIGMOD,1
2000,Florida,VIS,1
2000,Georgia,AAAI,1
2000,Georgia,CHI,1
2000,Georgia,CVPR,2
2000,Georgia,EC,1
2000,Georgia,EuroCrypt,1
2000,Georgia,FOCS,4
2000,Georgia,ICRA,2
2000,Georgia,ICS,1
2000,Georgia,IROS,1
2000,Georgia,ISSTA,1
2000,Georgia,MobiCom,2
2000,Georgia,NIPS,3
2000,Georgia,PLDI,1
2000,Georgia,SIGGRAPH,1
2000,Georgia,SODA,2
2000,Georgia,STOC,1
2000,Georgia,UIST,3
2000,Georgia,VIS,1
2000,Georgia,VR,1
2000,Hawaii,NIPS,1
2000,Hawaii,SC,1
2000,Illinois,AAAI,2
2000,Illinois,ACL,1
2000,Illinois,ASE,1
2000,Illinois,ASPLOS,2
2000,Illinois,DAC,2
2000,Illinois,ECCV,1
2000,Illinois,FOCS,3
2000,Illinois,HPCA,1
2000,Illinois,HPDC,4
2000,Illinois,ICCAD,1
2000,Illinois,ICML,2
2000,Illinois,ICRA,2
2000,Illinois,ICS,2
2000,Illinois,ISCA,5
2000,Illinois,ISMB,2
2000,Illinois,ISSTA,2
2000,Illinois,KDD,3
2000,Illinois,MICRO,2
2000,Illinois,MobiCom,2
2000,Illinois,PLDI,4
2000,Illinois,POPL,1
2000,Illinois,RTSS,3
2000,Illinois,SC,7
2000,Illinois,SIGGRAPH,2
2000,Illinois,SIGIR,1
2000,Illinois,SIGMOD,3
2000,Illinois,SODA,6
2000,Illinois,STOC,5
2000,Illinois,VLDB,3
2000,Indiana,AAAI,1
2000,Indiana,ACL,1
2000,Indiana,DAC,2
2000,Indiana,HPDC,4
2000,Indiana,ICRA,1
2000,Indiana,IEEE-S&P,1
2000,Indiana,IROS,1
2000,Indiana,ISCA,1
2000,Indiana,RTSS,2
2000,Indiana,SC,2
2000,Indiana,SIGGRAPH,1
2000,Indiana,SIGMETRICS,1
2000,Indiana,SODA,2
2000,Indiana,STOC,1
2000,Indiana,VIS,1
2000,Iowa,CHI,1
2000,Iowa,ICRA,3
2000,Iowa,LICS,1
2000,Iowa,SIGMETRICS,2
2000,Iowa,SODA,1
2000,Iowa,STOC,1
2000,Kansas,AAAI,1
2000,Kansas,ICRA,1
2000,Kansas,ICSE,2
2000,Kansas,STOC,1
2000,Louisiana,FOCS,1
2000,Maryland,AAAI,2
2000,Maryland,ACL,1
2000,Maryland,CHI,1
2000,Maryland,CVPR,3
2000,Maryland,ECCV,2
2000,Maryland,FOCS,1
2000,Maryland,FSE,2
2000,Maryland,ICFP,1
2000,Maryland,ICRA,2
2000,Maryland,ICSE,1
2000,Maryland,NDSS,1
2000,Maryland,NIPS,1
2000,Maryland,SC,2
2000,Maryland,SIGCOMM,1
2000,Maryland,SIGGRAPH,3
2000,Maryland,SIGMOD,1
2000,Maryland,SODA,3
2000,Maryland,STOC,2
2000,Maryland,UIST,1
2000,Maryland,USENIX-Sec,2
2000,Maryland,VIS,1
2000,Massachusetts,AAAI,5
2000,Massachusetts,ASE,1
2000,Massachusetts,ASPLOS,1
2000,Massachusetts,CCS,1
2000,Massachusetts,CHI,1
2000,Massachusetts,CRYPTO,3
2000,Massachusetts,CVPR,5
2000,Massachusetts,DAC,3
2000,Massachusetts,EuroCrypt,3
2000,Massachusetts,FOCS,7
2000,Massachusetts,FSE,2
2000,Massachusetts,ICCAD,3
2000,Massachusetts,ICML,6
2000,Massachusetts,ICRA,3
2000,Massachusetts,IEEE-S&P,2
2000,Massachusetts,IROS,3
2000,Massachusetts,ISCA,1
2000,Massachusetts,ISSTA,3
2000,Massachusetts,KDD,3
2000,Massachusetts,LICS,1
2000,Massachusetts,MobiCom,5
2000,Massachusetts,NDSS,1
2000,Massachusetts,NIPS,4
2000,Massachusetts,OOPSLA,2
2000,Massachusetts,OSDI,5
2000,Massachusetts,PLDI,3
2000,Massachusetts,POPL,1
2000,Massachusetts,RECOMB,2
2000,Massachusetts,RTSS,1
2000,Massachusetts,SIGCOMM,4
2000,Massachusetts,SIGGRAPH,4
2000,Massachusetts,SIGIR,1
2000,Massachusetts,SIGMETRICS,4
2000,Massachusetts,SIGMOD,2
2000,Massachusetts,SODA,3
2000,Massachusetts,STOC,6
2000,Massachusetts,USENIX-ATC,2
2000,Massachusetts,VLDB,2
2000,Michigan,AAAI,3
2000,Michigan,ACL,1
2000,Michigan,ASPLOS,3
2000,Michigan,DAC,3
2000,Michigan,EC,2
2000,Michigan,FSE,1
2000,Michigan,HPCA,1
2000,Michigan,HPDC,1
2000,Michigan,ICCAD,3
2000,Michigan,ICML,2
2000,Michigan,KDD,1
2000,Michigan,MICRO,2
2000,Michigan,OSDI,2
2000,Michigan,RTSS,2
2000,Michigan,SC,1
2000,Michigan,SIGMETRICS,1
2000,Michigan,SIGMOD,1
2000,Michigan,SODA,1
