name,dept,area,count,adjustedcount,year,State
Subbarao Kambhampati,Arizona State University,AAAI,1,0.5,2000,Arizona
Chitta Baral,Arizona State University,AAAI,2,0.666666667,2000,Arizona
Baoxin Li,Arizona State University,CVPR,1,0.5,2000,Arizona
Violet R. Syrotiuk,Arizona State University,MobiCom,1,0.5,2001,Arizona
Subbarao Kambhampati,Arizona State University,IJCAI,1,0.5,2001,Arizona
Sandeep K. S. Gupta,Arizona State University,MobiCom,1,0.333333333,2001,Arizona
K. Sel?uk Candan,Arizona State University,WWW,1,0.25,2001,Arizona
Chitta Baral,Arizona State University,IJCAI,2,0.833333333,2001,Arizona
K. Sel?uk Candan,Arizona State University,VLDB,2,0.342857143,2002,Arizona
Huan Liu,Arizona State University,ICML,1,0.333333333,2002,Arizona
Chitta Baral,Arizona State University,AAAI,1,0.333333333,2002,Arizona
Kurt VanLehn,Arizona State University,NAACL,1,0.25,2003,Arizona
K. Sel?uk Candan,Arizona State University,WWW,1,0.2,2003,Arizona
Joohyung Lee,Arizona State University,IJCAI,1,0.5,2003,Arizona
Huan Liu,Arizona State University,ICML,1,0.5,2003,Arizona
Huan Liu,Arizona State University,KDD,1,0.5,2003,Arizona
Charles J. Colbourn,Arizona State University,ICSE,1,0.25,2003,Arizona
Yalin Wang 0001,Arizona State University,VIS,1,0.25,2004,Arizona
Subbarao Kambhampati,Arizona State University,AAAI,1,0.25,2004,Arizona
K. Sel?uk Candan,Arizona State University,WWW,1,0.166666667,2004,Arizona
Joohyung Lee,Arizona State University,AAAI,1,0.5,2004,Arizona
Huan Liu,Arizona State University,ICML,1,0.5,2004,Arizona
Huan Liu,Arizona State University,KDD,1,0.5,2004,Arizona
Chitta Baral,Arizona State University,AAAI,3,1.083333333,2004,Arizona
Chitta Baral,Arizona State University,ISMB,1,0.166666667,2004,Arizona
Yalin Wang 0001,Arizona State University,ICCV,2,0.5,2005,Arizona
Subbarao Kambhampati,Arizona State University,IJCAI,1,0.333333333,2005,Arizona
K. Sel?uk Candan,Arizona State University,SIGMOD,1,0.2,2005,Arizona
K. Sel?uk Candan,Arizona State University,WWW,1,0.333333333,2005,Arizona
Joohyung Lee,Arizona State University,IJCAI,1,1,2005,Arizona
Jingrui He,Arizona State University,CVPR,1,0.166666667,2005,Arizona
Huan Liu,Arizona State University,IJCAI,2,1,2005,Arizona
Huan Liu,Arizona State University,WWW,1,0.2,2005,Arizona
Hanghang Tong,Arizona State University,CVPR,1,0.166666667,2005,Arizona
Georgios E. Fainekos,Arizona State University,ICRA,1,0.333333333,2005,Arizona
Chitta Baral,Arizona State University,AAAI,3,1.166666667,2005,Arizona
Charles J. Colbourn,Arizona State University,ICSE,1,0.333333333,2005,Arizona
Yalin Wang 0001,Arizona State University,CVPR,1,0.25,2006,Arizona
K. Sel?uk Candan,Arizona State University,VLDB,4,0.7,2006,Arizona
Joohyung Lee,Arizona State University,AAAI,1,0.333333333,2006,Arizona
Huan Liu,Arizona State University,ICML,1,0.5,2006,Arizona
Huan Liu,Arizona State University,KDD,1,0.333333333,2006,Arizona
Hanghang Tong,Arizona State University,KDD,1,0.5,2006,Arizona
Chitta Baral,Arizona State University,AAAI,1,0.5,2006,Arizona
Charles J. Colbourn,Arizona State University,ICCAD,1,0.333333333,2006,Arizona
Baoxin Li,Arizona State University,ICRA,1,0.5,2006,Arizona
Subbarao Kambhampati,Arizona State University,IJCAI,3,0.666666667,2007,Arizona
Subbarao Kambhampati,Arizona State University,VLDB,1,0.166666667,2007,Arizona
K. Sel?uk Candan,Arizona State University,SIGMOD,1,0.333333333,2007,Arizona
K. Sel?uk Candan,Arizona State University,VLDB,1,0.333333333,2007,Arizona
Joohyung Lee,Arizona State University,IJCAI,1,0.333333333,2007,Arizona
Jingrui He,Arizona State University,IJCAI,1,0.333333333,2007,Arizona
Jingrui He,Arizona State University,NIPS,1,0.5,2007,Arizona
Huan Liu,Arizona State University,CVPR,1,0.333333333,2007,Arizona
Huan Liu,Arizona State University,ICML,1,0.5,2007,Arizona
Huan Liu,Arizona State University,IJCAI,1,0.5,2007,Arizona
Huan Liu,Arizona State University,KDD,2,0.5,2007,Arizona
Heni Ben Amor,Arizona State University,VR,1,0.25,2007,Arizona
Hanghang Tong,Arizona State University,KDD,2,0.583333333,2007,Arizona
Georgios E. Fainekos,Arizona State University,ICRA,1,0.333333333,2007,Arizona
Georgios E. Fainekos,Arizona State University,IROS,1,0.333333333,2007,Arizona
Chitta Baral,Arizona State University,IJCAI,2,1,2007,Arizona
Baoxin Li,Arizona State University,ICCV,1,0.5,2007,Arizona
Andr¨¦a W. Richa,Arizona State University,SODA,1,0.333333333,2007,Arizona
Subbarao Kambhampati,Arizona State University,AAAI,1,0.25,2008,Arizona
Ming Zhao,Arizona State University,ECCV,1,0.5,2008,Arizona
K. Sel?uk Candan,Arizona State University,AAAI,1,0.333333333,2008,Arizona
K. Sel?uk Candan,Arizona State University,SIGMOD,1,0.2,2008,Arizona
Joohyung Lee,Arizona State University,AAAI,1,0.333333333,2008,Arizona
Huan Liu,Arizona State University,KDD,3,0.540909091,2008,Arizona
Hanghang Tong,Arizona State University,KDD,2,0.45,2008,Arizona
Chitta Baral,Arizona State University,AAAI,2,0.833333333,2008,Arizona
Baoxin Li,Arizona State University,CVPR,2,0.833333333,2008,Arizona
Yalin Wang 0001,Arizona State University,CVPR,1,0.25,2009,Arizona
Yalin Wang 0001,Arizona State University,ICCV,2,0.392857143,2009,Arizona
Subbarao Kambhampati,Arizona State University,IJCAI,2,0.583333333,2009,Arizona
Subbarao Kambhampati,Arizona State University,IROS,1,0.2,2009,Arizona
Rida A. Bazzi,Arizona State University,USENIX-ATC,1,0.5,2009,Arizona
K. Sel?uk Candan,Arizona State University,SIGMOD,1,0.5,2009,Arizona
K. Sel?uk Candan,Arizona State University,WWW,1,0.333333333,2009,Arizona
Joohyung Lee,Arizona State University,IJCAI,2,0.583333333,2009,Arizona
Huan Liu,Arizona State University,IJCAI,1,0.2,2009,Arizona
Huan Liu,Arizona State University,IROS,1,0.055555556,2009,Arizona
Huan Liu,Arizona State University,KDD,1,0.5,2009,Arizona
Hanghang Tong,Arizona State University,KDD,1,0.333333333,2009,Arizona
Georgios E. Fainekos,Arizona State University,RTSS,1,0.25,2009,Arizona
Chitta Baral,Arizona State University,ICRA,1,0.25,2009,Arizona
Baoxin Li,Arizona State University,CVPR,1,0.5,2009,Arizona
Baoxin Li,Arizona State University,IJCAI,1,0.5,2009,Arizona
Yezhou Yang,Arizona State University,ECCV,1,0.2,2010,Arizona
Subbarao Kambhampati,Arizona State University,AAAI,1,0.2,2010,Arizona
Sandeep K. S. Gupta,Arizona State University,HPDC,1,0.333333333,2010,Arizona
Sandeep K. S. Gupta,Arizona State University,SC,1,0.2,2010,Arizona
Joohyung Lee,Arizona State University,AAAI,1,0.5,2010,Arizona
Huan Liu,Arizona State University,AAAI,1,0.333333333,2010,Arizona
Huan Liu,Arizona State University,IROS,1,0.25,2010,Arizona
Hanghang Tong,Arizona State University,KDD,1,0.125,2010,Arizona
Baoxin Li,Arizona State University,CVPR,2,0.7,2010,Arizona
Yezhou Yang,Arizona State University,EMNLP,1,0.25,2011,Arizona
Yezhou Yang,Arizona State University,ICCV,1,0.2,2011,Arizona
Subbarao Kambhampati,Arizona State University,WWW,1,0.5,2011,Arizona
Joohyung Lee,Arizona State University,IJCAI,1,0.333333333,2011,Arizona
Jingrui He,Arizona State University,ICML,1,0.5,2011,Arizona
