dept,Year,AIadj,SYSadj,Theoadj,IAadj
Boston College,2000,1.0,1.0,1.0,1.0
Boston College,2001,1.00 ,1.20 ,1.00 ,1.00 
Boston College,2002,1.0,1.0,1.0,1.0
Boston College,2003,1.00 ,1.50 ,1.00 ,1.00 
Boston College,2004,1.33 ,1.00 ,1.00 ,1.00 
Boston College,2005,1.00 ,1.50 ,1.00 ,1.25 
Boston College,2006,1.53 ,1.00 ,1.33 ,1.33 
Boston College,2007,1.29 ,1.00 ,1.00 ,1.00 
Boston College,2008,1.58 ,1.00 ,1.33 ,1.00 
Boston College,2009,2.50 ,1.00 ,1.33 ,1.20 
Boston College,2010,1.67 ,1.00 ,1.00 ,1.00 
Boston College,2011,1.33 ,1.00 ,1.00 ,1.00 
Boston College,2012,3.25 ,1.00 ,1.00 ,1.00 
Boston College,2013,1.37 ,1.00 ,1.00 ,1.10 
Boston College,2014,1.58 ,1.00 ,1.00 ,1.27 
Boston College,2015,1.70 ,1.19 ,1.00 ,1.59 
Boston College,2016,1.00 ,1.00 ,1.25 ,1.33 
Boston College,2017,2.00 ,1.00 ,1.00 ,1.31 
