dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Massachusetts Boston,2007,1.33 ,1.25 ,1.00 ,1.00 
University of Massachusetts Boston,2008,1.00 ,1.20 ,1.00 ,1.25 
University of Massachusetts Boston,2009,1.25 ,1.00 ,1.00 ,1.00 
University of Massachusetts Boston,2010,1.25 ,1.00 ,1.00 ,1.00 
University of Massachusetts Boston,2011,1.00 ,1.00 ,1.00 ,1.17 
University of Massachusetts Boston,2012,1.42 ,1.00 ,1.00 ,1.25 
University of Massachusetts Boston,2013,1.30 ,1.00 ,1.00 ,1.00 
University of Massachusetts Boston,2014,1.00 ,1.33 ,1.00 ,1.00 
University of Massachusetts Boston,2015,1.23 ,1.00 ,1.00 ,1.25 
University of Massachusetts Boston,2016,1.33 ,1.14 ,1.00 ,1.53 
University of Massachusetts Boston,2017,1.00 ,1.00 ,1.00 ,1.22 
