dept,Year,AIadj,SYSadj,Theoadj,IAadj
Arizona State University,2000,1.80 ,1.00 ,1.00 ,1.00 
Arizona State University,2001,1.71 ,1.83 ,1.00 ,1.00 
Arizona State University,2002,1.33 ,1.34 ,1.00 ,1.00 
Arizona State University,2003,1.46 ,1.25 ,1.00 ,1.00 
Arizona State University,2004,1.88 ,1.00 ,1.00 ,1.21 
Arizona State University,2005,2.33 ,1.26 ,1.00 ,1.33 
Arizona State University,2006,1.75 ,1.51 ,1.00 ,1.50 
Arizona State University,2007,2.79 ,1.83 ,1.33 ,1.44 
Arizona State University,2008,2.34 ,1.20 ,1.00 ,1.00 
Arizona State University,2009,1.97 ,1.41 ,1.00 ,1.51 
Arizona State University,2010,1.63 ,1.53 ,1.00 ,1.25 
Arizona State University,2011,1.81 ,1.37 ,1.00 ,2.00 
Arizona State University,2012,2.76 ,1.33 ,1.00 ,1.80 
Arizona State University,2013,2.45 ,1.66 ,1.00 ,1.65 
Arizona State University,2014,1.76 ,1.51 ,1.00 ,2.63 
Arizona State University,2015,2.21 ,1.30 ,1.00 ,1.76 
Arizona State University,2016,2.07 ,1.53 ,1.00 ,1.23 
Arizona State University,2017,3.02 ,1.48 ,1.00 ,1.53 
Auburn University,2001,1.00 ,1.00 ,1.00 ,1.50 
Auburn University,2003,1.00 ,1.50 ,1.00 ,1.00 
Auburn University,2006,1.00 ,1.25 ,1.00 ,1.00 
Auburn University,2009,1.00 ,1.37 ,1.00 ,1.00 
Auburn University,2010,1.00 ,1.25 ,1.00 ,1.00 
Auburn University,2011,1.00 ,1.37 ,1.00 ,1.00 
Auburn University,2014,1.00 ,1.33 ,1.00 ,1.00 
Auburn University,2016,1.00 ,1.21 ,1.00 ,1.00 
Binghamton University,2000,1.00 ,1.45 ,1.00 ,1.00 
Binghamton University,2001,1.25 ,1.31 ,1.00 ,1.00 
Binghamton University,2002,1.33 ,2.16 ,1.00 ,1.00 
Binghamton University,2003,2.33 ,1.44 ,1.00 ,1.00 
Binghamton University,2004,1.66 ,1.39 ,1.00 ,1.00 
Binghamton University,2005,1.52 ,1.68 ,1.00 ,1.00 
Binghamton University,2006,1.36 ,1.73 ,1.00 ,1.00 
Binghamton University,2007,1.61 ,1.55 ,1.00 ,1.00 
Binghamton University,2008,1.47 ,1.33 ,1.00 ,1.00 
Binghamton University,2009,1.33 ,1.46 ,1.00 ,1.00 
Binghamton University,2010,1.20 ,1.32 ,1.00 ,1.00 
Binghamton University,2011,1.25 ,1.37 ,1.00 ,1.00 
Binghamton University,2012,1.20 ,1.40 ,1.00 ,1.00 
Binghamton University,2013,1.47 ,1.30 ,1.00 ,1.33 
Binghamton University,2014,1.20 ,1.48 ,1.00 ,1.00 
Binghamton University,2015,1.41 ,1.23 ,1.00 ,1.20 
Binghamton University,2016,1.56 ,1.47 ,1.00 ,1.00 
Binghamton University,2017,1.45 ,1.29 ,1.00 ,1.00 
Boise State University,2001,1.17 ,1.00 ,1.00 ,1.00 
Boise State University,2003,1.00 ,1.25 ,1.00 ,1.50 
Boise State University,2004,1.00 ,1.20 ,1.00 ,1.33 
Boise State University,2005,1.00 ,1.33 ,1.00 ,1.00 
Boise State University,2009,1.00 ,1.33 ,1.00 ,1.00 
Boise State University,2010,1.00 ,1.50 ,1.00 ,1.00 
Boise State University,2011,1.00 ,1.45 ,1.00 ,1.20 
Boise State University,2012,1.00 ,1.25 ,1.00 ,1.00 
Boise State University,2013,1.00 ,1.33 ,1.00 ,1.00 
Boise State University,2014,1.00 ,1.34 ,1.00 ,1.00 
Boise State University,2015,1.53 ,1.32 ,1.00 ,1.00 
Boise State University,2016,1.33 ,1.25 ,1.00 ,1.00 
Boston College,2001,1.00 ,1.20 ,1.00 ,1.00 
Boston College,2003,1.00 ,1.50 ,1.00 ,1.00 
Boston College,2004,1.33 ,1.00 ,1.00 ,1.00 
Boston College,2005,1.00 ,1.50 ,1.00 ,1.25 
Boston College,2006,1.53 ,1.00 ,1.33 ,1.33 
Boston College,2007,1.29 ,1.00 ,1.00 ,1.00 
Boston College,2008,1.58 ,1.00 ,1.33 ,1.00 
Boston College,2009,2.50 ,1.00 ,1.33 ,1.20 
Boston College,2010,1.67 ,1.00 ,1.00 ,1.00 
Boston College,2011,1.33 ,1.00 ,1.00 ,1.00 
Boston College,2012,3.25 ,1.00 ,1.00 ,1.00 
Boston College,2013,1.37 ,1.00 ,1.00 ,1.10 
Boston College,2014,1.58 ,1.00 ,1.00 ,1.27 
Boston College,2015,1.70 ,1.19 ,1.00 ,1.59 
Boston College,2016,1.00 ,1.00 ,1.25 ,1.33 
Boston College,2017,2.00 ,1.00 ,1.00 ,1.31 
Boston University,2000,1.83 ,1.41 ,1.62 ,1.00 
Boston University,2001,1.97 ,1.54 ,2.98 ,1.00 
Boston University,2002,1.20 ,1.29 ,2.37 ,1.00 
Boston University,2003,3.00 ,1.41 ,2.50 ,1.00 
Boston University,2004,1.32 ,1.55 ,1.74 ,1.00 
Boston University,2005,1.83 ,1.41 ,1.60 ,1.00 
Boston University,2006,1.53 ,1.45 ,1.58 ,1.00 
Boston University,2007,1.73 ,1.60 ,1.41 ,1.00 
Boston University,2008,2.15 ,1.38 ,1.51 ,1.00 
Boston University,2009,2.18 ,1.25 ,1.50 ,1.33 
Boston University,2010,2.09 ,1.26 ,1.64 ,2.00 
Boston University,2011,2.62 ,1.45 ,1.80 ,1.13 
Boston University,2012,2.60 ,1.63 ,1.58 ,1.55 
Boston University,2013,1.94 ,1.41 ,3.17 ,1.25 
Boston University,2014,2.30 ,1.41 ,2.19 ,1.37 
Boston University,2015,2.42 ,1.62 ,2.27 ,1.20 
Boston University,2016,1.72 ,1.45 ,2.06 ,1.25 
Boston University,2017,1.77 ,1.29 ,1.51 ,1.31 
Brandeis University,2000,1.00 ,2.00 ,1.00 ,1.00 
Brandeis University,2001,1.50 ,1.33 ,1.00 ,1.00 
Brandeis University,2002,1.00 ,1.29 ,1.00 ,1.00 
Brandeis University,2003,1.50 ,1.69 ,1.00 ,1.00 
Brandeis University,2004,1.75 ,1.30 ,1.00 ,1.00 
Brandeis University,2005,1.37 ,1.07 ,1.00 ,1.00 
Brandeis University,2006,2.53 ,1.43 ,1.00 ,1.00 
Brandeis University,2007,1.50 ,1.50 ,1.00 ,1.50 
Brandeis University,2008,2.00 ,1.47 ,1.00 ,1.00 
Brandeis University,2011,1.00 ,1.25 ,1.00 ,1.00 
Brandeis University,2012,2.00 ,1.11 ,1.00 ,1.00 
Brandeis University,2013,1.50 ,2.00 ,1.00 ,1.00 
Brandeis University,2014,2.50 ,1.33 ,1.00 ,1.00 
Brandeis University,2015,2.50 ,1.25 ,1.00 ,1.00 
Brandeis University,2016,1.00 ,1.31 ,1.00 ,1.00 
Brandeis University,2017,1.50 ,1.00 ,1.00 ,1.00 
Brigham Young University,2000,2.00 ,2.17 ,1.00 ,1.00 
Brigham Young University,2001,2.00 ,1.67 ,1.33 ,1.20 
Brigham Young University,2002,1.25 ,1.17 ,1.00 ,2.04 
Brigham Young University,2003,2.00 ,1.00 ,1.00 ,1.25 
Brigham Young University,2004,2.00 ,1.33 ,1.00 ,1.39 
Brigham Young University,2005,2.09 ,1.00 ,1.00 ,1.39 
Brigham Young University,2006,1.41 ,1.00 ,1.00 ,1.00 
Brigham Young University,2007,1.91 ,1.00 ,1.00 ,1.00 
Brigham Young University,2008,1.51 ,1.00 ,1.00 ,1.20 
Brigham Young University,2009,1.77 ,1.00 ,1.00 ,1.83 
Brigham Young University,2010,1.57 ,1.00 ,1.00 ,1.00 
Brigham Young University,2011,1.48 ,1.33 ,1.00 ,1.00 
Brigham Young University,2012,1.44 ,1.00 ,1.00 ,1.25 
Brigham Young University,2013,1.25 ,1.33 ,1.00 ,1.00 
Brigham Young University,2014,1.25 ,1.00 ,1.00 ,1.14 
Brigham Young University,2015,1.75 ,1.00 ,1.00 ,1.00 
Brigham Young University,2016,1.51 ,1.75 ,1.00 ,1.67 
Brigham Young University,2017,1.25 ,1.20 ,1.00 ,1.00 
Brown University,2000,2.50 ,1.67 ,2.53 ,2.00 
Brown University,2001,2.42 ,1.71 ,2.08 ,1.44 
Brown University,2002,1.32 ,1.49 ,2.42 ,1.35 
Brown University,2003,1.70 ,1.74 ,1.33 ,1.49 
Brown University,2004,1.51 ,1.73 ,2.08 ,1.42 
