School,Number
Arizona State University,1
Auburn University,2
Binghamton University,3
Boise State University,4
Boston College,5
Boston University,6
Brandeis University,7
Brigham Young University,8
Brown University,9
California Institute of Technology,10
Carnegie Mellon University,11
Case Western Reserve University,12
Clemson University,13
College of William and Mary,14
Colorado School of Mines,15
Colorado State University,16
Columbia University,17
Cornell University,18
CUNY,19
Dartmouth College,20
Drexel University,21
Duke University,22
Emory University,23
Florida State University,24
George Mason University,25
George Washington University,26
Georgetown University,27
Georgia Institute of Technology,28
Harvard University,29
Indiana University,30
Iowa State University,31
IUPUI,32
Johns Hopkins University,33
Kansas State University,34
Massachusetts Institute of Technology,35
Michigan State University,36
Naval Postgraduate School,37
New Mexico State University,38
New York University,39
NJIT,40
North Carolina State University,41
Northeastern University,42
Northern Arizona University,43
Northwestern University,44
Ohio State University,45
OHSU,46
Old Dominion University,47
Oregon State University,48
Pennsylvania State University,49
Princeton University,50
Purdue University,51
Rensselaer Polytechnic Institute,52
Rice University,53
Rochester Institute of Technology,54
Rutgers University,55
Stanford University,56
Stevens Institute of Technology,57
Stony Brook University,58
Temple University,59
Texas A&M University,60
TTI Chicago,61
Tufts University,62
Tulane University,63
Univ. of Colorado Colorado Springs,64
Univ. of Illinois at Urbana-Champaign,65
Univ. of Maryland - Baltimore County,66
University at Buffalo,67
University of Arizona,68
University of California - Berkeley,69
University of California - Davis,70
University of California - Irvine,71
University of California - Los Angeles,72
University of California - Riverside,73
University of California - San Diego,74
University of California - Santa Barbara,75
University of California - Santa Cruz,76
University of Central Florida,77
University of Chicago,78
University of Colorado Boulder,79
University of Connecticut,80
University of Delaware,81
University of Florida,82
University of Georgia,83
University of Hawaii at Manoa,84
University of Houston,85
University of Illinois at Chicago,86
University of Iowa,87
University of Kansas,88
University of Kentucky,89
University of Maryland - College Park,90
University of Massachusetts Amherst,91
University of Massachusetts Boston,92
University of Massachusetts Lowell,93
University of Miami,94
University of Michigan,95
University of Minnesota,96
University of Nebraska,97
University of Nevada,98
University of New Mexico,99
University of North Carolina,100
University of Notre Dame,101
University of Oregon,102
niversity of Pennsylvania,103
University of Pittsburgh,104
University of Rochester,105
University of South Carolina,106
University of South Florida,107
University of Southern California,108
University of Tennessee,109
University of Texas at Arlington,110
University of Texas at Austin,111
University of Texas at Dallas,112
University of Texas at San Antonio,113
University of Utah,114
University of Vermont,115
University of Virginia,116
University of Washington,117
University of Wisconsin - Madison,118
Vanderbilt University,119
Virginia Commonwealth University,120
Virginia Tech,121
Virginia TECh,122
Virginia Tech,123
Washington State University,124
Washington University in St. Louis,125
Worcester Polytechnic Institute,126
Yale University,127
