area,year,count
AAAI,2000,56
AAAI,2002,46
AAAI,2004,56
AAAI,2005,80
AAAI,2006,87
AAAI,2007,81
AAAI,2008,85
AAAI,2010,93
AAAI,2011,104
AAAI,2012,106
AAAI,2013,79
AAAI,2014,132
AAAI,2015,178
AAAI,2016,161
AAAI,2017,146
ACL,2000,10
ACL,2001,23
ACL,2002,22
ACL,2003,18
ACL,2004,26
ACL,2005,30
ACL,2006,41
ACL,2007,35
ACL,2008,39
ACL,2009,37
ACL,2010,35
ACL,2011,56
ACL,2012,44
ACL,2013,71
ACL,2014,82
ACL,2015,75
ACL,2016,67
ACL,2017,62
ASE,2000,4
ASE,2001,4
ASE,2002,4
ASE,2003,12
ASE,2004,12
ASE,2005,17
ASE,2006,14
ASE,2007,21
ASE,2008,15
ASE,2009,16
ASE,2010,15
ASE,2011,15
ASE,2012,7
ASE,2013,25
ASE,2014,29
ASE,2015,26
ASE,2016,26
ASE,2017,31
ASPLOS,2000,26
ASPLOS,2002,25
ASPLOS,2004,20
ASPLOS,2006,40
ASPLOS,2008,34
ASPLOS,2009,26
ASPLOS,2010,36
ASPLOS,2011,46
ASPLOS,2012,28
ASPLOS,2013,50
ASPLOS,2014,48
ASPLOS,2015,52
ASPLOS,2016,53
ASPLOS,2017,55
CAV,2000,13
CAV,2001,14
CAV,2002,17
CAV,2003,15
CAV,2004,14
CAV,2005,16
CAV,2006,13
CAV,2007,14
CAV,2008,12
CAV,2009,17
CAV,2010,11
CAV,2011,27
CAV,2012,20
CAV,2013,25
CAV,2014,26
CAV,2015,22
CAV,2016,18
CAV,2017,21
CCS,2000,13
CCS,2001,23
CCS,2002,29
CCS,2003,36
CCS,2004,38
CCS,2005,35
CCS,2006,38
CCS,2007,62
CCS,2008,36
CCS,2009,53
CCS,2010,49
CCS,2011,55
CCS,2012,65
CCS,2013,69
CCS,2014,86
CCS,2015,95
CCS,2016,89
CCS,2017,97
CHI,2000,17
CHI,2001,16
CHI,2002,21
CHI,2003,30
CHI,2004,35
CHI,2005,35
CHI,2006,35
CHI,2007,49
CHI,2008,57
CHI,2009,67
CHI,2010,88
CHI,2011,96
CHI,2012,103
CHI,2013,97
CHI,2014,111
CHI,2015,102
CHI,2016,117
CHI,2017,118
CRYPTO,2000,11
CRYPTO,2001,16
CRYPTO,2002,13
CRYPTO,2003,13
CRYPTO,2004,15
CRYPTO,2005,16
CRYPTO,2006,20
CRYPTO,2007,20
CRYPTO,2008,21
CRYPTO,2009,27
CRYPTO,2010,27
CRYPTO,2011,24
CRYPTO,2012,25
CRYPTO,2013,37
CRYPTO,2014,30
CRYPTO,2015,24
CRYPTO,2016,20
CRYPTO,2017,21
CVPR,2000,62
CVPR,2001,76
CVPR,2003,86
CVPR,2004,88
CVPR,2005,92
CVPR,2006,91
CVPR,2007,128
CVPR,2008,122
CVPR,2009,108
CVPR,2010,107
CVPR,2011,123
CVPR,2012,113
CVPR,2013,107
CVPR,2014,101
CVPR,2015,125
CVPR,2016,126
CVPR,2017,135
DAC,2000,29
DAC,2001,31
DAC,2002,34
DAC,2003,40
DAC,2004,36
DAC,2005,39
DAC,2006,32
DAC,2007,30
DAC,2008,27
DAC,2009,33
DAC,2010,46
DAC,2011,49
DAC,2012,60
DAC,2013,40
DAC,2014,45
DAC,2015,54
DAC,2016,43
DAC,2017,44
EC,2000,10
EC,2001,4
EC,2003,20
EC,2004,14
EC,2005,16
EC,2006,25
EC,2007,21
EC,2008,17
EC,2009,21
EC,2010,23
EC,2011,25
EC,2012,29
EC,2013,25
EC,2014,24
EC,2015,21
EC,2016,21
EC,2017,23
ECCV,2000,15
ECCV,2002,57
ECCV,2004,42
ECCV,2006,37
ECCV,2008,73
ECCV,2010,95
ECCV,2012,96
ECCV,2014,93
ECCV,2016,86
EMNLP,2004,19
EMNLP,2005,41
EMNLP,2006,20
EMNLP,2007,27
EMNLP,2008,43
EMNLP,2009,37
EMNLP,2010,48
EMNLP,2011,43
EMNLP,2012,45
EMNLP,2013,47
EMNLP,2014,53
EMNLP,2015,70
EMNLP,2016,73
EMNLP,2017,85
EMSOFT,2001,20
EMSOFT,2002,11
EMSOFT,2003,14
EMSOFT,2004,9
EMSOFT,2005,14
EMSOFT,2006,14
EMSOFT,2007,10
EMSOFT,2008,9
EMSOFT,2009,12
EMSOFT,2010,9
EMSOFT,2011,13
EMSOFT,2012,6
EMSOFT,2013,9
EMSOFT,2014,11
EMSOFT,2015,13
EMSOFT,2016,10
EuroCrypt,2000,17
EuroCrypt,2001,16
EuroCrypt,2002,14
EuroCrypt,2003,14
EuroCrypt,2004,28
EuroCrypt,2005,19
EuroCrypt,2006,12
EuroCrypt,2007,12
EuroCrypt,2008,18
EuroCrypt,2009,14
EuroCrypt,2010,22
EuroCrypt,2011,15
EuroCrypt,2012,22
EuroCrypt,2013,24
EuroCrypt,2014,27
EuroCrypt,2015,19
EuroCrypt,2016,26
EuroCrypt,2017,29
EuroSys,2006,15
EuroSys,2007,19
EuroSys,2008,10
EuroSys,2009,15
EuroSys,2010,19
EuroSys,2011,20
EuroSys,2012,22
EuroSys,2013,21
EuroSys,2014,18
EuroSys,2015,22
EuroSys,2016,34
EuroSys,2017,34
FAST,2002,13
FAST,2003,13
FAST,2004,10
FAST,2005,17
FAST,2007,12
FAST,2008,19
FAST,2009,21
FAST,2010,15
FAST,2011,20
FAST,2013,18
FAST,2014,11
FAST,2015,18
FAST,2016,17
FAST,2017,15
FOCS,2000,46
FOCS,2001,43
FOCS,2002,35
FOCS,2003,51
FOCS,2004,45
FOCS,2005,52
FOCS,2006,43
FOCS,2007,47
FOCS,2008,55
FOCS,2009,45
FOCS,2010,72
FOCS,2011,77
FOCS,2012,54
FOCS,2013,59
FOCS,2014,43
FOCS,2015,57
FOCS,2016,56
FOCS,2017,49
FSE,2000,7
FSE,2002,8
FSE,2004,17
FSE,2005,21
FSE,2006,17
FSE,2007,30
FSE,2008,34
FSE,2009,22
FSE,2010,24
FSE,2011,25
FSE,2012,31
FSE,2013,25
FSE,2014,35
FSE,2015,46
FSE,2016,47
FSE,2017,44
HPCA,2000,17
HPCA,2001,22
HPCA,2002,21
HPCA,2003,31
HPCA,2004,16
HPCA,2005,22
HPCA,2006,24
HPCA,2007,20
HPCA,2008,20
HPCA,2009,22
HPCA,2010,19
HPCA,2011,32
HPCA,2012,26
HPCA,2013,34
HPCA,2014,32
HPCA,2015,42
HPCA,2016,47
HPCA,2017,34
HPDC,2000,22
HPDC,2001,16
HPDC,2002,24
HPDC,2003,20
HPDC,2004,16
HPDC,2005,19
HPDC,2006,17
HPDC,2007,12
HPDC,2008,12
HPDC,2009,8
HPDC,2010,29
HPDC,2011,9
HPDC,2012,12
HPDC,2013,17
HPDC,2014,11
HPDC,2015,16
HPDC,2016,13
HPDC,2017,13
ICCAD,2000,24
ICCAD,2001,17
ICCAD,2002,33
ICCAD,2003,36
ICCAD,2004,33
ICCAD,2005,32
ICCAD,2006,39
ICCAD,2007,40
ICCAD,2008,32
ICCAD,2009,23
ICCAD,2010,13
ICCAD,2011,24
ICCAD,2012,17
ICCAD,2013,22
ICCAD,2014,15
ICCAD,2015,39
ICCV,2001,60
ICCV,2003,62
ICCV,2005,78
ICCV,2007,101
ICCV,2009,94
ICCV,2011,86
ICCV,2013,99
ICCV,2015,111
ICFP,2000,7
ICFP,2001,8
ICFP,2002,6
ICFP,2003,8
ICFP,2004,12
ICFP,2005,18
ICFP,2006,15
ICFP,2007,5
ICFP,2008,17
ICFP,2009,15
ICFP,2010,11
ICFP,2011,18
ICFP,2012,13
ICFP,2013,8
ICFP,2014,14
ICFP,2015,16
ICFP,2016,13
ICFP,2017,25
ICML,2000,55
ICML,2001,27
ICML,2002,30
ICML,2003,55
ICML,2004,49
ICML,2005,53
ICML,2006,64
ICML,2007,54
ICML,2008,72
ICML,2009,64
ICML,2010,61
ICML,2011,58
ICML,2012,83
ICML,2013,106
ICML,2014,109
ICML,2015,91
ICML,2016,122
ICML,2017,130
ICRA,2000,64
ICRA,2001,43
ICRA,2002,68
ICRA,2003,61
ICRA,2004,77
ICRA,2005,65
ICRA,2006,84
ICRA,2007,78
ICRA,2008,68
ICRA,2009,70
ICRA,2010,84
ICRA,2011,109
ICRA,2012,97
ICRA,2013,94
ICRA,2014,125
ICRA,2015,113
ICRA,2016,84
ICRA,2017,104
ICS,2000,18
ICS,2001,17
ICS,2002,18
ICS,2003,16
ICS,2004,19
ICS,2005,25
ICS,2006,14
ICS,2007,16
ICS,2008,19
ICS,2009,25
ICS,2010,15
ICS,2011,17
ICS,2012,21
ICS,2013,25
ICS,2014,19
ICS,2015,22
ICS,2016,20
ICS,2017,11
ICSE,2000,20
ICSE,2001,26
ICSE,2002,27
ICSE,2003,30
ICSE,2004,37
ICSE,2005,34
ICSE,2006,17
ICSE,2007,28
ICSE,2008,36
ICSE,2009,35
ICSE,2010,34
ICSE,2011,35
ICSE,2012,56
ICSE,2013,50
ICSE,2014,49
ICSE,2015,39
ICSE,2016,58
ICSE,2017,33
IEEE-S&P,2000,11
IEEE-S&P,2001,13
IEEE-S&P,2002,17
IEEE-S&P,2003,10
IEEE-S&P,2004,9
IEEE-S&P,2005,18
IEEE-S&P,2006,30
IEEE-S&P,2007,27
IEEE-S&P,2008,27
IEEE-S&P,2009,18
IEEE-S&P,2010,37
IEEE-S&P,2011,35
IEEE-S&P,2012,38
IEEE-S&P,2013,43
IEEE-S&P,2014,53
IEEE-S&P,2015,40
IEEE-S&P,2016,53
IEEE-S&P,2017,48
IJCAI,2001,48
IJCAI,2003,54
IJCAI,2005,54
IJCAI,2007,104
IJCAI,2009,74
IJCAI,2011,89
IJCAI,2013,71
IJCAI,2015,99
IJCAI,2016,126
IJCAI,2017,102
IMC,2003,30
IMC,2004,29
IMC,2006,29
IMC,2007,36
IMC,2008,25
IMC,2009,31
IMC,2010,35
IMC,2011,34
IMC,2012,27
IMC,2013,36
IMC,2014,45
IMC,2015,29
IMC,2016,29
IMC,2017,30
IROS,2000,21
IROS,2001,42
IROS,2002,38
IROS,2003,57
IROS,2004,56
IROS,2005,53
IROS,2006,44
IROS,2007,67
IROS,2008,41
IROS,2009,76
IROS,2010,53
IROS,2011,83
IROS,2012,79
IROS,2013,63
IROS,2014,80
IROS,2015,101
IROS,2016,99
ISCA,2000,20
ISCA,2001,24
ISCA,2002,13
ISCA,2003,34
ISCA,2004,27
ISCA,2005,33
ISCA,2006,29
ISCA,2007,39
ISCA,2008,40
ISCA,2009,30
ISCA,2010,32
ISCA,2011,34
ISCA,2012,43
ISCA,2013,46
ISCA,2014,25
ISCA,2015,41
ISCA,2016,43
ISCA,2017,42
ISMB,2000,19
ISMB,2001,21
ISMB,2002,15
ISMB,2003,12
ISMB,2004,17
ISMB,2005,24
ISMB,2006,23
ISMB,2007,32
ISMB,2008,24
ISMB,2009,19
ISMB,2010,2
ISMB,2011,18
ISMB,2012,23
ISMB,2013,20
ISMB,2014,22
ISMB,2015,21
ISMB,2016,22
ISMB,2017,3
ISSTA,2000,16
ISSTA,2002,11
ISSTA,2004,13
ISSTA,2006,15
ISSTA,2007,14
ISSTA,2008,23
ISSTA,2009,17
ISSTA,2010,13
ISSTA,2011,27
ISSTA,2012,25
ISSTA,2013,24
ISSTA,2014,18
ISSTA,2015,17
ISSTA,2016,17
ISSTA,2017,18
KDD,2000,11
KDD,2001,21
KDD,2002,34
KDD,2003,44
KDD,2004,53
KDD,2005,39
KDD,2006,52
KDD,2007,47
KDD,2008,54
KDD,2009,62
KDD,2010,63
KDD,2011,61
KDD,2012,82
KDD,2013,80
KDD,2014,87
KDD,2015,87
KDD,2016,87
KDD,2017,78
LICS,2000,7
LICS,2001,17
LICS,2002,4
LICS,2003,7
LICS,2004,9
LICS,2005,2
LICS,2006,7
LICS,2007,7
LICS,2008,6
LICS,2009,4
LICS,2011,1
LICS,2012,8
LICS,2013,10
LICS,2014,8
LICS,2015,1
LICS,2016,9
LICS,2017,9
MICRO,2000,21
MICRO,2001,20
MICRO,2002,31
MICRO,2003,27
MICRO,2004,27
MICRO,2005,19
MICRO,2006,28
MICRO,2007,22
MICRO,2008,34
MICRO,2009,30
MICRO,2010,36
MICRO,2011,25
MICRO,2012,25
MICRO,2013,27
MICRO,2014,40
MICRO,2015,41
MICRO,2016,38
MICRO,2017,52
MobiCom,2000,21
MobiCom,2001,28
MobiCom,2002,17
MobiCom,2003,26
MobiCom,2004,16
MobiCom,2005,13
MobiCom,2006,22
MobiCom,2007,17
MobiCom,2008,32
MobiCom,2009,23
MobiCom,2010,31
MobiCom,2011,30
